Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
SDP72,,606997.054,4865406.377,1887.934,165,-115.66692284,43.93400234,1887.934,0.230,0.200,0.567,0.305,2.800,m,SINGLE,2023-02-09 13:09:05.0 UTC-07:00,2023-02-09 13:09:06.0 UTC-07:00,6,1.6,,,,,,,,WGS 84 / UTM zone 11N
SDP73,,606997.906,4865409.809,1889.244,165,-115.66691153,43.93403311,1889.244,0.220,0.211,0.479,0.305,2.800,m,SINGLE,2023-02-09 13:09:26.8 UTC-07:00,2023-02-09 13:09:27.8 UTC-07:00,6,1.3,,,,,,,,WGS 84 / UTM zone 11N
SDP74,,606995.331,4865411.606,1890.401,142,-115.66694325,43.93404966,1890.401,0.177,0.210,0.405,0.275,2.800,m,SINGLE,2023-02-09 13:09:49.0 UTC-07:00,2023-02-09 13:09:50.0 UTC-07:00,6,1.6,,,,,,,,WGS 84 / UTM zone 11N
SDP75,,606992.097,4865410.604,1891.382,133,-115.66698372,43.93404110,1891.382,0.181,0.202,0.385,0.271,2.800,m,SINGLE,2023-02-09 13:10:09.8 UTC-07:00,2023-02-09 13:10:10.8 UTC-07:00,6,1.4,,,,,,,,WGS 84 / UTM zone 11N
SDP76,,606988.366,4865411.110,1892.375,165,-115.66703010,43.93404620,1892.375,0.220,0.207,0.521,0.302,2.800,m,SINGLE,2023-02-09 13:10:31.8 UTC-07:00,2023-02-09 13:10:32.8 UTC-07:00,6,1.6,,,,,,,,WGS 84 / UTM zone 11N
SDP77,,606985.714,4865414.068,1891.972,167,-115.66706254,43.93407321,1891.972,0.227,0.205,0.509,0.306,2.800,m,SINGLE,2023-02-09 13:10:55.4 UTC-07:00,2023-02-09 13:10:56.4 UTC-07:00,6,1.4,,,,,,,,WGS 84 / UTM zone 11N
SDP78,,606984.144,4865416.458,1894.269,166,-115.66708161,43.93409496,1894.269,0.201,0.159,0.384,0.257,2.800,m,SINGLE,2023-02-09 13:11:15.6 UTC-07:00,2023-02-09 13:11:16.6 UTC-07:00,6,1.4,,,,,,,,WGS 84 / UTM zone 11N
SDP79,,606984.515,4865421.194,1894.528,146,-115.66707604,43.93413753,1894.528,0.201,0.172,0.406,0.264,2.800,m,SINGLE,2023-02-09 13:11:35.8 UTC-07:00,2023-02-09 13:11:36.8 UTC-07:00,6,1.3,,,,,,,,WGS 84 / UTM zone 11N
SDP80,,606984.212,4865425.545,1895.987,150,-115.66707894,43.93417674,1895.987,0.200,0.161,0.420,0.257,2.800,m,SINGLE,2023-02-09 13:11:53.8 UTC-07:00,2023-02-09 13:11:54.8 UTC-07:00,6,1.4,,,,,,,,WGS 84 / UTM zone 11N
SDP81,,606982.342,4865431.502,1897.463,170,-115.66710103,43.93423063,1897.463,0.205,0.154,0.384,0.256,2.800,m,SINGLE,2023-02-09 13:12:14.6 UTC-07:00,2023-02-09 13:12:15.6 UTC-07:00,6,1.4,,,,,,,,WGS 84 / UTM zone 11N
SDP82,,606979.284,4865437.482,1899.099,175,-115.66713792,43.93428490,1899.099,0.209,0.187,0.466,0.280,2.800,m,SINGLE,2023-02-09 13:12:33.2 UTC-07:00,2023-02-09 13:12:34.2 UTC-07:00,6,1.5,,,,,,,,WGS 84 / UTM zone 11N
SDP83,,606977.879,4865441.296,1901.136,169,-115.66715465,43.93431944,1901.136,0.200,0.160,0.403,0.256,2.800,m,SINGLE,2023-02-09 13:12:52.0 UTC-07:00,2023-02-09 13:12:53.0 UTC-07:00,6,1.4,,,,,,,,WGS 84 / UTM zone 11N
